Author,Study_ID,Effectize_ID,Case ID,Year,Basin_ID,Basin,Region_ID,Region,Area_ID,Country,Site_ID,Site,Forest_type,Holdridge_ID,Holdridge_life_zone,Latitude,Longitude,Elevation_m,MAP_mm,MAT_C,MAT_MAP_x100,Rocktype_ID,RockType,RockP_ID,RockPClass,Par_Mat_ID,Par_Mat,Soil_ID,USDA_Soil_Order,Total_soil_P (Bicarb- + NaOH-Pt),Other_soil_P,Other_soil_P_Unit,Treatment_ID,Treatment,Fraction,Variable,Raw_Unit,Gale_wind_duration_minutes,Fujita_scale,StormFrequencyNorm,YearsSinceLastStorm,DisturbanceYear,DisturbanceName,DisturbanceClass,DisturbanceDate,Distance_to_Disturb_km,Disturb_Rainfall_mm,HURRECON_wind_ms,WMO_wind_ms,WMO_press_mb,Raw_TSD,TSD_months,Cat_TSD_months,Post_Mean,Post_SD,Post_n,Pre_Mean,Pre_SD,Pre_n,Transf_Unit,Post_Mean_transf,Post_SD_transf,Pre_Mean_transf,Pre_SD_transf,PostMonth,Recovery,Pre_Mean_MonthSpecific,Pre_SD_MonthSpecific,Ref P,Ref dist_rainfall,Ref Distance,PS,,,,,,,
Lodge et al,9,1,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/g,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,16.2,0.64,41,12.6,1.28,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,2,9.2,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,1,El Verde,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,5,Oxisol,130,340,mg/kg,,Ambient,Leaf fall,N,mg/g,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,946,3 to 10 days,0.3,0-0.5,15.4,0.6,36,14.4,3.2,36,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,3,9.3,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,3,East Peak,Cloud,4,Subtropical Lowermontane Rain,18.266667,-65.75,1000,4200,18.5,0.44,,Shale,3,High,8,Volcanic siltstone,2,Inceptisol,,260,mg/kg,,Ambient,Leaf fall,N,mg/g,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,300,46,56.6,946,13 days,0.5,0-0.5,11.9,0.98,7,7.7,8.96,7,,,,,,September,N,,,"0-10cm, 12 mg/kg Olsen P  https://link.springer.com/content/pdf/10.1007/BF00996995.pdf",,,,,,,,,,
Lodge et al,9,4,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Misc fall,N,mg/g,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,17.2,1.28,41,13.4,2.56,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,5,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Wood fall,N,mg/g,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,8.6,8.96,41,8.6,0.19,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,6,9.2,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,1,El Verde,Tabonuco,7,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,5,Oxisol,130,340,mg/kg,,Ambient,Wood fall,N,mg/g,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,946,3 to 10 days,0.5,0-0.5,8.5,0.18,36,7.1,0.06,36,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,7,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,P,mg/g,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,0.734,0.192,41,0.422,0.064,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,8,9.2,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,1,El Verde,Tabonuco,7,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,5,Oxisol,130,340,mg/kg,,Ambient,Leaf fall,P,mg/g,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,946,3 to 10 days,0.3,0-0.5,0.82,0.18,36,0.25,0.06,36,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,9,9.3,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,3,East Peak,Cloud,4,Subtropical Lowermontane Rain,18.266667,-65.75,1000,4200,18.5,0.44,,Shale,3,High,8,Volcanic siltstone,2,Inceptisol,,260,mg/kg,,Ambient,Leaf fall,P,mg/g,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,300,46,56.6,946,13 days,0.5,0-0.5,0.427,0.042,7,0.245,0.21,7,,,,,,September,N,,,"0-10cm, 12 mg/kg Olsen P  https://link.springer.com/content/pdf/10.1007/BF00996995.pdf",,,,,,,,,,
Lodge et al,9,10,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Misc fall,P,mg/g,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,1.034,3.906,41,0.917,0.141,41,,,,,,September,N,,,,,,,,,,,,,
